#_mobile,#.1_mobile,Country,Mbps_mobile,#_broadband,#.1_broadband,Mbps_broadband,alpha_3
1.0,+2,Qatar,176.18,38.0,+2,90.86,QAT
2.0,-1,United Arab Emirates,139.41,8.0,-,186.76,ARE
3.0,-1,Norway,131.54,25.0,+1,111.55,NOR
4.0,-,South Korea,118.76,33.0,-4,95.34,KOR
5.0,+2,Denmark,113.44,7.0,-,188.35,DNK
6.0,-1,China,109.4,2.0,+1,214.58,CHN
7.0,-1,Netherlands,109.06,21.0,-,120.82,NLD
8.0,+13,Macau (SAR),106.38,12.0,-2,159.78,MAC
9.0,-1,Bulgaria,103.29,58.0,+1,67.76,BGR
10.0,+1,Brunei,102.06,85.0,-4,46.92,BRN
11.0,-2,Kuwait,97.66,24.0,+1,117.26,KWT
12.0,-2,Saudi Arabia,90.49,41.0,+2,88.12,SAU
13.0,-1,Australia,86.01,73.0,-2,53.06,AUS
14.0,+2,Sweden,85.64,27.0,+1,107.83,SWE
15.0,-,Bahrain,84.22,84.0,-4,48.32,BHR
16.0,+1,Finland,83.61,35.0,-,94.39,FIN
17.0,+1,Canada,82.68,16.0,+1,136.87,CAN
18.0,-4,Switzerland,77.36,15.0,-2,144.78,CHE
19.0,-6,Luxembourg,76.75,34.0,-,94.39,LUX
20.0,+3,United States,74.83,6.0,-,189.48,USA
21.0,-1,Singapore,72.18,3.0,-2,214.23,SGP
22.0,+9,Maldives,71.4,149.0,+2,10.45,MDV
23.0,-4,Croatia,70.27,86.0,+3,46.53,HRV
24.0,+2,Taiwan,68.04,19.0,-,124.14,TWN
25.0,-3,North Macedonia,65.88,103.0,-2,33.37,MKD
26.0,-1,Cyprus,64.26,101.0,+1,36.5,CYP
27.0,+1,Portugal,62.95,22.0,-,119.06,PRT
28.0,+4,Greece,61.4,94.0,+2,42.79,GRC
29.0,-,Austria,61.19,59.0,-1,67.23,AUT
30.0,+3,France,59.66,14.0,+1,150.15,FRA
31.0,+4,Estonia,59.46,70.0,-4,58.33,EST
32.0,-8,Lithuania,58.3,40.0,-3,89.23,LTU
33.0,-6,New Zealand,56.64,17.0,-1,133.18,NZL
34.0,-4,Hong Kong (SAR),56.51,5.0,-1,194.35,HKG
35.0,-1,Belgium,56.18,42.0,-,86.7,BEL
36.0,+1,Germany,56.18,46.0,+3,80.69,DEU
37.0,+8,Slovakia,54.41,69.0,-6,59.08,SVK
38.0,+2,Oman,52.35,68.0,+2,59.74,OMN
39.0,-1,Slovenia,50.75,48.0,-,79.29,SVN
40.0,-4,Montenegro,49.34,71.0,-2,54.66,MNE
41.0,-2,Malta,48.67,36.0,-,93.17,MLT
42.0,-1,Serbia,46.5,64.0,-4,60.45,SRB
43.0,-,Latvia,46.1,56.0,-1,72.4,LVA
44.0,-,United Kingdom,46.02,55.0,+1,73.21,GBR
45.0,+3,Czechia,44.46,74.0,-1,52.78,CZE
46.0,+3,Hungary,41.11,20.0,-2,123.17,HUN
47.0,+3,Romania,41.09,10.0,+2,170.25,ROU
48.0,-2,Iran,40.97,144.0,-3,11.62,IRN
49.0,+5,Poland,40.92,31.0,+1,95.95,POL
50.0,-3,Japan,40.92,13.0,-4,150.32,JPN
51.0,+2,Vietnam,39.59,47.0,-,80.27,VNM
52.0,-1,Albania,39.29,93.0,+1,44.63,ALB
53.0,-1,Italy,39.25,66.0,+1,60.12,ITA
54.0,+1,Thailand,37.85,4.0,+1,205.63,THA
55.0,+1,South Africa,36.7,98.0,+1,40.12,ZAF
56.0,+5,Malaysia,36.34,37.0,+1,91.5,MYS
57.0,+1,Spain,36.07,11.0,-,166.78,ESP
58.0,+1,Azerbaijan,34.6,118.0,-1,26.95,AZE
59.0,+7,Georgia,33.67,120.0,-,25.97,GEO
60.0,+3,Brazil,33.36,30.0,+1,97.52,BRA
61.0,+1,Uruguay,33.12,29.0,+1,104.72,URY
62.0,-,Botswana,33.05,164.0,-1,7.52,BWA
63.0,+4,Turkey,31.93,105.0,+1,31.86,TUR
64.0,+1,Morocco,31.65,131.0,+1,17.97,MAR
65.0,-1,Jamaica,30.79,81.0,+6,48.91,JAM
66.0,-6,Iraq,30.62,126.0,-2,21.27,IRQ
67.0,-10,Moldova,28.64,28.0,-1,105.06,MDA
68.0,+3,Laos,28.56,113.0,-,28.33,LAO
69.0,+1,Lebanon,28.39,167.0,-3,7.27,LBN
70.0,-2,Trinidad and Tobago,27.89,43.0,+1,84.84,TTO
71.0,-2,Israel,27.18,32.0,+1,95.66,ISR
72.0,+11,Uganda,26.07,148.0,+1,10.72,UGA
73.0,+2,Chile,25.85,1.0,+1,216.46,CHL
74.0,+4,Guatemala,25.54,117.0,+2,27.02,GTM
75.0,+12,Togo,25.5,109.0,+2,29.63,TGO
76.0,-4,Myanmar (Burma),25.21,130.0,+1,18.98,MMR
77.0,-,Kosovo,25.18,72.0,-,53.81,XKX
78.0,-5,Ireland,24.84,50.0,+1,77.91,IRL
79.0,-5,Bosnia and Herzegovina,24.74,115.0,-,27.25,BIH
